"site","transect","plot","live_tree_density","standing_dead_density","live_larch_density","trees_raw","region","mean_trees","mean_snags","trees_gCm2","snags_gCm2","treatment"
"Alnus",1,"100",3879,1094,3879,5991.12771929716,"Cherskiy",0.81703598629816,0.175344486500203,4894.9669451742,1050.51121349729,"pre-burn"
"Alnus",1,"150",13345,3764,13345,6419.61603743113,"Cherskiy",0.81703598629816,0.175344486500203,5245.05732079803,1125.64427761183,"pre-burn"
"Alnus",1,"200",5121,1444,5121,6054.59899588408,"Cherskiy",0.81703598629816,0.175344486500203,4946.825262242,1061.64055189794,"pre-burn"
"Alnus",1,"25",6555,1849,6555,400.534833870762,"Cherskiy",0.81703598629816,0.175344486500203,327.251373038367,70.2315747705128,"pre-burn"
"Alnus",1,"50",11793,3326,11793,5584.46178821262,"Cherskiy",0.81703598629816,0.175344486500203,4562.70624507668,979.204584634147,"pre-burn"
"Alnus",1,"75",10707,3020,10707,5315.90032179461,"Cherskiy",0.81703598629816,0.175344486500203,4343.28186248016,932.113812211339,"pre-burn"
"ANS",1,"100",1092,308,1092,805.329418773127,"Cherskiy",0.806951784626354,0.186392502451215,649.862011691079,150.107365662706,"pre-burn"
"ANS",1,"150",3575,1008,3575,376.551566245239,"Cherskiy",0.806951784626354,0.186392502451215,303.858958385444,70.1863887343745,"pre-burn"
"ANS",1,"25",2284,644,2284,2067.36235191213,"Cherskiy",0.806951784626354,0.186392502451215,1668.26173934483,385.340842246331,"pre-burn"
"ANS",1,"250",1490,420,1490,1258.47882942242,"Cherskiy",0.806951784626354,0.186392502451215,1015.53173731691,234.571018297921,"pre-burn"
"ANS",1,"50",1589,448,1589,1564.24258771973,"Cherskiy",0.806951784626354,0.186392502451215,1262.26834774898,291.563090365844,"pre-burn"
"ANS",1,"75",1788,504,1788,1892.697837642,"Cherskiy",0.806951784626354,0.186392502451215,1527.31589784365,352.784686342096,"pre-burn"
"ANS",2,"100",795,224,795,91.8298795532465,"Cherskiy",0.806951784626354,0.186392502451215,74.1022851875154,17.1164010497233,"pre-burn"
"ANS",2,"150",497,140,497,50.2055263775411,"Cherskiy",0.806951784626354,0.186392502451215,40.5134391084623,9.35793369839038,"pre-burn"
"ANS",2,"200",3277,924,3277,883.266378598273,"Cherskiy",0.806951784626354,0.186392502451215,712.753380510334,164.634230637954,"pre-burn"
"ANS",2,"25",795,224,795,390.486703728362,"Cherskiy",0.806951784626354,0.186392502451215,315.103942446464,72.7837938818555,"pre-burn"
"ANS",2,"50",596,168,596,208.593306562308,"Cherskiy",0.806951784626354,0.186392502451215,168.324740991567,38.8802284047221,"pre-burn"
"ANS",2,"75",397,112,397,182.940101073263,"Cherskiy",0.806951784626354,0.186392502451215,147.623841040795,34.0986632377236,"pre-burn"
"ANS",3,"100",1490,420,1490,162.820327094477,"Cherskiy",0.806951784626354,0.186392502451215,131.388153522335,30.3484882170649,"pre-burn"
"ANS",3,"150",1788,504,1788,716.795510481848,"Cherskiy",0.806951784626354,0.186392502451215,578.419416395486,133.605308944508,"pre-burn"
"ANS",3,"200",2384,672,2384,527.481936646441,"Cherskiy",0.806951784626354,0.186392502451215,425.652490135011,98.3186781693434,"pre-burn"
"ANS",3,"25",1986,560,1986,657.003018397771,"Cherskiy",0.806951784626354,0.186392502451215,530.169758200982,122.460436717162,"pre-burn"
"ANS",3,"50",3178,896,3178,939.199421950184,"Cherskiy",0.806951784626354,0.186392502451215,757.888649662741,175.059730558029,"pre-burn"
"ANS",3,"75",3178,896,3178,947.038926235709,"Cherskiy",0.806951784626354,0.186392502451215,764.214751636531,176.520955379785,"pre-burn"
"BP",1,"100",497,140,497,1331.8822649155,"Cherskiy",0.72785381354062,0.246713396602886,969.415585705863,328.593197452447,"pre-burn"
"BP",1,"150",1490,420,1490,763.41525151386,"Cherskiy",0.72785381354062,0.246713396602886,555.654702129434,188.344769719431,"pre-burn"
"BP",1,"200",1092,308,1092,653.765521349112,"Cherskiy",0.72785381354062,0.246713396602886,475.845727875323,161.292712353896,"pre-burn"
"BP",1,"25",1490,420,1490,944.79318072025,"Cherskiy",0.72785381354062,0.246713396602886,687.671319594406,233.093134702737,"pre-burn"
"BP",1,"50",1092,308,1092,1175.28525277338,"Cherskiy",0.72785381354062,0.246713396602886,855.435853229157,289.958616689002,"pre-burn"
"BP",1,"75",497,140,497,826.433254809718,"Cherskiy",0.72785381354062,0.246713396602886,601.52259615004,203.892155359684,"pre-burn"
"BP",2,"100",894,252,894,922.855376420622,"Cherskiy",0.72785381354062,0.246713396602886,671.703805074214,227.680784489967,"pre-burn"
"BP",2,"150",1788,504,1788,974.823990175538,"Cherskiy",0.72785381354062,0.246713396602886,709.529358780149,240.502137706185,"pre-burn"
"BP",2,"200",1688,476,1688,984.198083131798,"Cherskiy",0.72785381354062,0.246713396602886,716.352328086847,242.814852019496,"pre-burn"
"BP",2,"25",795,224,795,1502.31897643967,"Cherskiy",0.72785381354062,0.246713396602886,1093.46859615606,370.642217458403,"pre-burn"
"BP",2,"50",2483,700,2483,1671.93104792742,"Cherskiy",0.72785381354062,0.246713396602886,1216.92138921093,412.487787719995,"pre-burn"
"BP",2,"75",1490,420,1490,1221.75201449785,"Cherskiy",0.72785381354062,0.246713396602886,889.256862953193,301.422589303182,"pre-burn"
"CN",1,"100",571,161,571,408.741945898558,"Cherskiy",0.909089376000041,0.0710523957727602,371.582960541963,29.0420945089125,"pre-burn"
"CN",1,"150",323,91,323,71.374214296471,"Cherskiy",0.909089376000041,0.0710523957727602,64.885539937272,5.07130892216265,"pre-burn"
"CN",1,"200",149,42,149,106.187607442208,"Cherskiy",0.909089376000041,0.0710523957727602,96.5340257885738,7.54488391014623,"pre-burn"
"CN",1,"25",770,217,770,369.088998856292,"Cherskiy",0.909089376000041,0.0710523957727602,335.534887658747,26.2246576221091,"pre-burn"
"CN",1,"50",1192,336,1192,252.072626194738,"Cherskiy",0.909089376000041,0.0710523957727602,229.156546454066,17.9103639998676,"pre-burn"
"CN",1,"75",223,63,223,173.500013247677,"Cherskiy",0.909089376000041,0.0710523957727602,157.72701877933,12.3275916078531,"pre-burn"
"CN",2,"100",1887,532,1887,1428.51444573889,"Cherskiy",0.909089376000041,0.0710523957727602,1298.64730608381,101.499373765744,"pre-burn"
"CN",2,"150",1192,336,1192,1107.95634300414,"Cherskiy",0.909089376000041,0.0710523957727602,1007.23134049692,78.7229525820701,"pre-burn"
"CN",2,"200",894,252,894,1202.54381476474,"Cherskiy",0.909089376000041,0.0710523957727602,1093.21980617719,85.4436190607491,"pre-burn"
"CN",2,"25",4171,1176,4171,1060.87722116155,"Cherskiy",0.909089376000041,0.0710523957727602,964.432210998415,75.3778681842768,"pre-burn"
