"site","transect","plot","recruit_aspen_density","recruit_birch_density","recruit_pine_density","recruit_larch_density","standing_dead_density","dead_larch_density","dead_tree_density","live_larch_density","live_tree_density","recruit_density","soil_gCm2","SOL_depth","trees_gCm2","snags_gCm2","aspen_trees_gCm2","aspen_snags_gCm2","birch_trees_gCm2","birch_snags_gCm2","pine_trees_gCm2","pine_snags_gCm2","larch_trees_gCm2","larch_snags_gCm2","crown_severity","latitude","longitude","shrub_gCm2","dnbr","FWD_gCm2","CWD_gCm2","region","burn_year","up_flood","slope","aspect","char_percent","elevation","basal_area_ha","AGB_gCm2","treatment","trees_raw","mean_trees","mean_snags"
"Alnus",1,"-25",0,0,0,42972,255,255,255,16552,16552,42972,2014.18465841184,7,961.297214176892,531.66887570738,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.1088166253242,161.33598311213,151.12420078371,NA,247.1636,433.262955281511,"Cherskiy",1984,"Floodplain",0,"flat",0,NA,8.8040589999714,2324.51684594949,"unburned",NA,NA,NA
"Alnus",1,"-50",0,0,0,796,0,0,0,509,509,796,1692.92750449301,8,1166.18319870976,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.108849702969,161.335483737463,572.296933069014,NA,674.638,0,"Cherskiy",1984,"Floodplain",0,"flat",0,NA,10.5320249999658,2413.11813177877,"unburned",NA,NA,NA
"Alnus",1,"100",0,0,0,3979,1989,2785,2785,2188,2188,3979,NA,NA,277.262428186395,1757.89404836285,NA,NA,NA,NA,NA,NA,NA,NA,1.68,68.1089413570341,161.338460318981,118.396594860111,NA,463.92196,2389.95234801831,"Cherskiy",1984,"Floodplain",0,"flat",0,NA,2.54952499986999,5007.42737942767,"burned",NA,NA,NA
"Alnus",1,"150",0,0,0,35014,995,1790,1790,15319,15319,35014,1008.29396263545,7.5,689.774422311213,2829.55046937466,NA,NA,NA,NA,NA,NA,NA,NA,0.313953488372093,68.1089867744487,161.339630882297,611.410667737102,NA,614.96492,2083.19462270674,"Cherskiy",1984,"Floodplain",0,"flat",0,NA,6.28653906217941,6828.89510212972,"burned",NA,NA,NA
"Alnus",1,"200",0,0,0,15120,1194,1790,1790,4775,4775,15120,2277.01949225359,7,956.983637819927,1839.55394918025,NA,NA,NA,NA,NA,NA,NA,NA,0.757575757575758,68.1090514543606,161.340760346095,90.5999134182518,NA,359.34696,1029.82148573519,"Cherskiy",1984,"Floodplain",0,"flat",0,NA,8.79538437455147,4276.30594615362,"burned",NA,NA,NA
"Alnus",1,"25",0,0,0,41380,0,0,0,8403,8403,41380,366.614634712022,6.8,400.534833870762,0,NA,NA,NA,NA,NA,NA,NA,NA,0,68.1088009116271,161.336732268923,617.69620441906,NA,339.5656,981.304616327575,"Cherskiy",1984,"Floodplain",0,"flat",0,NA,3.66094799998811,2339.1012546174,"burned",NA,NA,NA
"Alnus",1,"50",0,0,0,46951,398,1989,1989,13130,13130,46951,938.789047497415,9,368.92854140765,1416.24594699958,NA,NA,NA,NA,NA,NA,NA,NA,0.394736842105263,68.1088570898927,161.337292590331,56.4705433435928,NA,219.64228,1580.1480059889,"Cherskiy",1984,"Floodplain",0,"flat",0,NA,3.34376874982948,3641.43531773972,"burned",NA,NA,NA
"Alnus",1,"75",0,0,0,51725,1393,1790,1790,11937,11937,51725,1639.80627540147,6.5,457.361263735132,2807.88901449342,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,68.1089097568922,161.33783878599,87.8917577801659,NA,185.63496,752.685536346794,"Cherskiy",1984,"Floodplain",0,"flat",0,NA,4.17229062478723,4291.46253235551,"burned",NA,NA,NA
"ANS",1,"-25a",0,0,0,0,255,255,255,6621,6621,0,5827.14149449504,12,1946.04045833938,56.0109162630896,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.860250089366,161.684300663363,35.8077202465093,NA,613.79368,110.569194513621,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,17.6077429999428,2762.2219693626,"unburned",NA,NA,NA
"ANS",1,"-25b",0,0,0,0,382,382,382,2165,2165,0,2189.68870250736,10,2915.43840776447,269.900843871204,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.8603133654787,161.68377830587,30.9310721906972,NA,627.8542,160.269484826562,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,26.3970579999142,4004.39400865293,"unburned",NA,NA,NA
"ANS",1,"100",0,0,0,0,127,1401,1401,0,0,0,3128.68369565217,10,0,1.67421541129385,NA,NA,NA,NA,NA,NA,NA,NA,3,67.8613379888952,161.683568188068,125.86026245807,57.645382,592.70572,744.065643029785,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0,1464.30584089915,"burned",NA,NA,NA
"ANS",1,"150",0,0,0,0,2165,4584,4584,0,0,0,3675.18542619073,7,0,47.2464811947082,NA,NA,NA,NA,NA,NA,NA,NA,2.22222222222222,67.8618315101105,161.683614473729,286.859560690794,171.49326,133.49692,0,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0,467.602961885502,"burned",NA,NA,NA
"ANS",1,"25",0,0,0,0,509,1401,1401,1528,1528,0,2013.81533414668,8,1424.88888405919,518.919020728715,NA,NA,NA,NA,NA,NA,NA,NA,1.21739130434783,67.8606309800925,161.683400161129,0.419365670274898,NA,417.40512,0,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,12.9835699999578,2361.63239045818,"burned",NA,NA,NA
"ANS",1,"250",0,0,0,0,382,1910,1910,0,0,0,6112.36144976014,10,0,8.63476093900242,NA,NA,NA,NA,NA,NA,NA,NA,2.86666666666667,67.863037161744,161.683970187209,4.60250755088225,210.37607,634.25936,171.302113651705,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0,818.79874214159,"burned",NA,NA,NA
"ANS",1,"50",0,0,0,7958,382,1910,1910,127,127,7958,2789.05118347652,5,241.099685755373,410.713647647034,NA,NA,NA,NA,NA,NA,NA,NA,2.5,67.8608548222285,161.683459557915,32.3867069081443,NA,191.68856,604.601256121504,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,2.19039999999288,1480.48985643206,"burned",NA,NA,NA
"ANS",1,"75",0,0,0,6366,509,2037,2037,255,255,6366,2362.9967384172,5,85.7039325461688,752.917773744798,NA,NA,NA,NA,NA,NA,NA,NA,2.22222222222222,67.8611009718741,161.683486507491,37.2589679581104,NA,601.42328,192.208222757944,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0.789488999997435,1669.51217700702,"burned",NA,NA,NA
"ANS",2,"-25",0,0,0,0,1273,1273,1273,2546,2546,0,1864.2908953985,6.5,963.352799510009,142.506916868201,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.8119188841142,161.898233112293,8.57779192708467,NA,166.18072,0,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,8.86774399997119,1280.61822830529,"unburned",NA,NA,NA
"ANS",2,"-50",0,0,0,0,1273,1273,1273,4966,4966,0,2956.71680950611,9.5,1097.1120695452,178.127977102064,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.8118185056585,161.898081582426,186.600162471685,NA,276.4352,0,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,10.0907639999672,1738.27540911895,"unburned",NA,NA,NA
"ANS",2,"100",0,0,0,0,1019,1019,1019,0,0,0,2948.01992039581,9,0,82.021872246261,NA,NA,NA,NA,NA,NA,NA,NA,1.5,67.812680620585,161.899969495526,208.064121540811,186.90794,27.20172,0,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0,317.287713787072,"burned",NA,NA,NA
"ANS",2,"150",0,0,0,0,382,637,637,0,0,0,NA,NA,0,19.7321830083768,NA,NA,NA,NA,NA,NA,NA,NA,1.8,67.8130230186678,161.900600455957,466.199437875532,200.14253,28.52524,0,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0,514.456860883909,"burned",NA,NA,NA
"ANS",2,"200",0,0,0,0,1146,4202,4202,0,0,0,3365.24899427014,10,0,93.1997721744522,NA,NA,NA,NA,NA,NA,NA,NA,2.57575757575758,67.8133269513926,161.90139288264,36.397060431453,417.1936,230.42784,0,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0,360.024672605905,"burned",NA,NA,NA
"ANS",2,"25",0,0,0,2387,764,1019,1019,0,0,2387,NA,NA,0,343.024665318335,NA,NA,NA,NA,NA,NA,NA,NA,1,67.8121669402816,161.89899851347,147.594234190832,163.27605,56.21576,0,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0,546.834659509167,"burned",NA,NA,NA
"ANS",2,"50",0,0,0,0,382,764,764,0,0,0,3511.17625885746,11,0,185.371837437459,NA,NA,NA,NA,NA,NA,NA,NA,1,67.8123307127033,161.899343503287,610.616103043161,86.03892,68.8926,0,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0,864.88054048062,"burned",NA,NA,NA
"ANS",2,"75",0,0,0,0,255,382,382,127,127,0,2614.08006738821,10,78.7458356392172,45.9794610499877,NA,NA,NA,NA,NA,NA,NA,NA,1,67.8125117648887,161.89965401531,483.813758316342,86.03892,113.92048,74.7398702598227,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0.724200999997647,797.19940526537,"burned",NA,NA,NA
"ANS",3,"-25a",0,0,0,11937,3438,3438,3438,1783,1783,11937,NA,8,1685.87188568143,1960.4001339979,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.8140731141055,161.771425966412,23.6015343668993,NA,541.62236,1253.78109427176,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,15.39593399995,5465.27700831799,"unburned",NA,NA,NA
"ANS",3,"-25b",0,0,0,6366,637,637,637,1783,2037,6366,2730.12872588493,11,3825.90970793331,1018.68061043274,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.8138696733756,161.771471727809,16.2335723647591,NA,543.59072,303.905767653392,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,34.5680589998877,5708.3203783842,"unburned",NA,NA,NA
"ANS",3,"100",0,0,0,11141,1019,1146,1146,764,764,11141,2564.03401472844,10,105.530450467017,46.0472348370109,NA,NA,NA,NA,NA,NA,NA,NA,0.6,67.8145556198352,161.7739045757,21.1766505483696,162.38847,107.207,27.9547464624807,"Cherskiy",2003,"Floodplain",NA,NA,NA,NA,0.973065999996838,307.916082314878,"burned",NA,NA,NA
"ANS",3,"150",0,0,0,3979,1783,2037,2037,255,255,3979,2725.45445522851,7,214.53130208754,398.04765194442,NA,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,67.8147457676711,161.775108750748,54.9829582736117,240.11618,148.26056,52.4159950227903,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,1.95198099999366,868.238467328362,"burned",NA,NA,NA
"ANS",3,"200",0,0,0,0,2165,3056,3056,0,0,0,3203.89589673951,11,0,380.360407385216,NA,NA,NA,NA,NA,NA,NA,NA,1.875,67.8150123854002,161.776159667153,54.4982039665609,265.46826,192.82596,271.469144074493,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0,899.15371542627,"burned",NA,NA,NA
"ANS",3,"25",0,0,0,19894,1655,2292,2292,255,255,19894,4519.76392180095,10,20.5578977229867,423.52742475756,NA,NA,NA,NA,NA,NA,NA,NA,1.85,67.8143406682442,161.772273465863,22.5215159887673,NA,102.96572,0,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0.188899999999386,569.572558469314,"burned",NA,NA,NA
"ANS",3,"50",0,0,0,0,2674,3947,3947,127,127,0,1895.95579681069,7,159.772989018478,511.568151995627,NA,NA,NA,NA,NA,NA,NA,NA,1.78125,67.8144316095433,161.772853659295,37.1338913757294,NA,70.5658,0,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,1.45926399999526,779.040832389834,"burned",NA,NA,NA
"ANS",3,"75",0,0,0,0,3310,4074,4074,0,0,0,NA,NA,0,729.896953804352,NA,NA,NA,NA,NA,NA,NA,NA,1.40625,67.8145018821228,161.77334627636,24.9894130046933,NA,131.07548,155.998475533949,"Cherskiy",2003,"Floodplain",0,"flat",0,NA,0,1041.96032234299,"burned",NA,NA,NA
