"region","site","mean_trees","mean_snags"
"Cherskiy","ANS",0.806951784626354,0.186392502451215
"Cherskiy","Alnus",0.81703598629816,0.175344486500203
"Cherskiy","BP",0.72785381354062,0.246713396602886
"Cherskiy","CN",0.909089376000041,0.0710523957727602
"Cherskiy","FOC",0.840669594548619,0.148025167992329
"Cherskiy","FU",0.812101152640607,0.17132751534747
"Cherskiy","Gonzo",0.675896504291899,0.244509187099655
"Cherskiy","HR",0.957162281473704,0.0413876313593289
"Cherskiy","Shark",0.940720067407318,0.0546434216522491
"Yakutsk","FRK",0.930916433047077,0.0670003294896095
"Yakutsk","Korova",0.999999999999999,0
"Yakutsk","Maya",0.989523794694984,0.00989461600818357
"Yakutsk","ROB",0.989984220125793,0.00971646540079342
