"site","transect","plot","recruit_aspen_density","recruit_birch_density","recruit_pine_density","recruit_larch_density","standing_dead_density","dead_larch_density","dead_tree_density","live_larch_density","live_tree_density","recruit_density"
"Alnus",1,"-25",0,0,0,42972,255,255,255,16552,16552,42972
"Alnus",1,"-50",0,0,0,796,0,0,0,509,509,796
"Alnus",1,"100",0,0,0,3979,1989,2785,2785,2188,2188,3979
"Alnus",1,"150",0,0,0,35014,995,1790,1790,15319,15319,35014
"Alnus",1,"200",0,0,0,15120,1194,1790,1790,4775,4775,15120
"Alnus",1,"25",0,0,0,41380,0,0,0,8403,8403,41380
"Alnus",1,"50",0,0,0,46951,398,1989,1989,13130,13130,46951
"Alnus",1,"75",0,0,0,51725,1393,1790,1790,11937,11937,51725
"ANS",1,"-25a",0,0,0,0,255,255,255,6621,6621,0
"ANS",1,"-25b",0,0,0,0,382,382,382,2165,2165,0
"ANS",1,"100",0,0,0,0,127,1401,1401,0,0,0
"ANS",1,"150",0,0,0,0,2165,4584,4584,0,0,0
"ANS",1,"25",0,0,0,0,509,1401,1401,1528,1528,0
"ANS",1,"250",0,0,0,0,382,1910,1910,0,0,0
"ANS",1,"50",0,0,0,7958,382,1910,1910,127,127,7958
"ANS",1,"75",0,0,0,6366,509,2037,2037,255,255,6366
"ANS",2,"-25",0,0,0,0,1273,1273,1273,2546,2546,0
"ANS",2,"-50",0,0,0,0,1273,1273,1273,4966,4966,0
"ANS",2,"100",0,0,0,0,1019,1019,1019,0,0,0
"ANS",2,"150",0,0,0,0,382,637,637,0,0,0
"ANS",2,"200",0,0,0,0,1146,4202,4202,0,0,0
"ANS",2,"25",0,0,0,2387,764,1019,1019,0,0,2387
"ANS",2,"50",0,0,0,0,382,764,764,0,0,0
"ANS",2,"75",0,0,0,0,255,382,382,127,127,0
"ANS",3,"-25a",0,0,0,11937,3438,3438,3438,1783,1783,11937
"ANS",3,"-25b",0,0,0,6366,637,637,637,1783,2037,6366
"ANS",3,"100",0,0,0,11141,1019,1146,1146,764,764,11141
"ANS",3,"150",0,0,0,3979,1783,2037,2037,255,255,3979
"ANS",3,"200",0,0,0,0,2165,3056,3056,0,0,0
"ANS",3,"25",0,0,0,19894,1655,2292,2292,255,255,19894
"ANS",3,"50",0,0,0,0,2674,3947,3947,127,127,0
"ANS",3,"75",0,0,0,0,3310,4074,4074,0,0,0
"BP",1,"-25a",0,0,0,0,1655,1655,1655,1273,1273,0
"BP",1,"-25b",0,0,0,0,509,509,509,3310,3310,0
"BP",1,"100",0,0,0,0,255,637,637,0,0,0
"BP",1,"150",0,0,0,0,764,1910,1910,0,0,0
"BP",1,"200",0,0,0,0,509,1401,1401,0,0,0
"BP",1,"25",0,0,0,0,1019,1783,1783,127,127,0
"BP",1,"50",0,0,0,0,509,1273,1273,127,127,0
"BP",1,"75",0,0,0,1592,127,637,637,0,0,1592
"BP",2,"-25a",0,0,0,0,382,382,382,1019,1019,0
"BP",2,"-25b",0,0,0,0,637,637,637,637,637,0
"BP",2,"100",0,0,0,0,127,1146,1146,0,0,0
"BP",2,"150",0,0,0,0,509,2292,2292,0,0,0
"BP",2,"200",0,0,0,0,891,2165,2165,0,0,0
"BP",2,"25",0,0,0,3183,637,1019,1019,0,0,3183
"BP",2,"50",0,0,0,0,891,3183,3183,0,0,0
"BP",2,"75",0,0,0,796,0,1910,1910,0,0,796
"CN",1,"-25",0,0,0,0,0,159,159,573,573,0
"CN",1,"-50",0,0,0,0,0,0,0,859,859,0
"CN",1,"100",0,0,0,3979,318,732,732,0,0,3979
"CN",1,"150",0,0,0,0,127,414,414,0,0,0
"CN",1,"200",0,0,0,0,127,191,191,0,0,0
"CN",1,"25",0,0,0,0,0,223,223,764,764,0
"CN",1,"50",0,0,0,6366,382,1528,1528,0,0,6366
"CN",1,"75",0,0,0,3183,127,286,286,0,0,3183
"CN",2,"-35",0,0,0,0,707,707,707,8135,8135,0
"CN",2,"-60",0,0,0,0,0,0,0,9196,9196,0
"CN",2,"100",0,0,0,1592,764,2419,2419,0,0,1592
"CN",2,"150",0,0,0,0,127,1528,1528,0,0,0
"CN",2,"200",0,0,0,796,255,1146,1146,0,0,796
"CN",2,"25",0,0,0,4775,637,5348,5348,0,0,4775
"CN",2,"50",0,0,0,0,764,4456,4456,0,0,0
"CN",2,"75",0,0,0,796,95,477,477,0,0,796
"CN",3,"-25",0,0,0,0,0,0,0,2674,2674,0
"CN",3,"-50",0,0,0,0,354,354,354,11318,11318,0
"CN",3,"100",0,0,0,2387,509,2928,2928,0,0,2387
"CN",3,"150",0,0,0,0,9903,16269,16269,0,0,0
"CN",3,"200",0,0,0,7162,3183,8842,8842,0,0,7162
"CN",3,"25",0,0,0,35810,255,1655,1655,0,0,35810
"CN",3,"50",0,0,0,2387,382,764,764,0,0,2387
"CN",3,"75",0,0,0,0,0,0,0,0,0,0
"FOC",1,"-15a",0,0,0,0,255,255,255,1401,1401,0
"FOC",1,"-15b",0,0,0,0,764,764,764,1273,1273,0
"FOC",1,"100",0,0,0,3183,4838,4966,4966,0,0,3183
"FOC",1,"150",0,0,0,0,2037,2928,2928,0,0,0
"FOC",1,"200",0,0,0,0,2165,3438,3438,0,0,0
"FOC",1,"25",0,0,0,0,1273,1655,1655,764,764,0
